names,science score,history score
Kathleen Hernandez,4.78,4.8
Joseph Sisk,6.22,6
Earnest Cole,5.38,5.9
Brian Langston,4.18,3.2
William Saska,4.24,2.8
Scott Rogers,4.72,5.4
Marvin Cooper,3.94,3.8
John Lambert,4.54,3.8
Carol Gamboa,4.36,4.9
Francisco Johnson,4.9,5.5
Larry Mclane,5.86,6.4
Patricia Mcninch,2.8,3.6
Roy Williams,5.8,4.8
Steven Kelly,5.86,4.9
Larry Dunn,4.06,3.6
Cheryl Kraus,3.46,4.9
Virginia Thompson,3.64,4.6
Marcus Mcfarland,4.78,4.8
Ayana Childs,3.94,3.9
Josephine Hall,4.84,4.5
Harvey Pribbenow,4.3,3.2
Michelle Smithson,3.4,3.8
Laura Cavanaugh,4.3,5.6
Sharon Matthews,5.98,5.2
Robert Miranda,4.24,4.9
Fannie Alvarez,5.14,4.1
Chris Chauncey,3.34,3.8
Edna Johnson,5.62,6.1
Natalie Turney,5.08,4.9
Jacqueline Mcneill,3.7,4.2
Joel Reed,4.66,5
Jennifer Tucker,4.54,4.7
Rosalia Arrants,2.32,2.4
Rodger Talavera,3.16,2.6
Deborah Clark,4.36,4.7
Jonathan Rochon,4.18,3.9
Sophia Bijou,4.48,4.7
Timothy Botello,5.56,5.5
Maureen Robins,5.38,5.2
Mikki Amaya,2.62,3.9
Shanna Braswell,4.9,5.2
Linda Mccormack,4.18,6
Anthony Kenny,5.2,5.6
Paul Ellis,4.06,3
Gaylene Hunt,4.78,4.5
Verda Perryman,4.18,4.2
Bernard Gilmore,5.2,4.8
Shannon Weaver,3.7,3.3
Audrey Shorey,4.72,5
Michele Montgomery,4.12,4.3
Dana Smith,3.22,3.6
Connie Shinn,3.16,4.7
Marx Loftis,5.08,3.9
Richard Pryor,5.8,5.2
Mary Nelson,3.64,4.3
Frances Archer,3.34,5.2
James King,5.86,6.8
Joseph Guerriero,4.3,4.8
Sara Ray,3.1,3.9
Julio Fuller,4.84,5
Betty Byrd,3.22,4.9
Mauricio Deering,4.06,4.8
Richard Roderick,4.54,4.5
Kenneth Webster,3.64,3.7
Janice Wells,3.7,4.7
Jerome Lopze,3.76,3.1
Kathy Castro,3.58,4
Claudio Millender,3.76,4.1
Joseph Mccoy,4.3,3.4
Melvin Mastrangelo,4.66,5.3
Damien Gomez,4.36,5.5
Clyde Gay,6.28,6.2
Sean Staples,4.78,4.8
Randy Werth,4.6,3.4
Mandy Bays,3.34,3.4
David Moss,5.08,5.4
Christian Marshall,4.66,3.9
Andreas Browder,4,3.8
Barbar Gonzalez,5.2,5.4
James Muir,4.84,3.8
Joseph Holsapple,4.24,4
Arlene Trotter,3.4,4.7
Darlene Parker,4.24,4.3
Paul Brownell,4.9,5.4
Sheila Friel,3.64,4.1
Robert Tarlton,3.64,3.7
Cathy Kuhl,3.7,4.2
Damon Mckee,6.04,4.1
Connie Workman,5.02,4.7
Maxine Walton,4.54,5
Alex Estimable,3.4,3.5
Edith Cervera,4.72,5.1
Randy Mccarthy,5.32,4.1
Isaiah Massey,6.04,5.7
Agatha Bergman,6.52,5.2
Concepcion Burkett,3.4,3.6
Frank Barrera,5.02,4.9
Leona Markow,3.34,3.8
Maxine Gulbranson,3.28,3.9
Sandra Pompey,5.2,5.2
Therese Dobbins,4.9,4.2
Andrew Duran,5.32,4.1
Jeane Budds,3.58,3.9
David Okeeffe,4.54,4.7
Richard Bacon,3.64,4
Judy Webb,3.82,5.1
Amy Hawes,4.12,6
Sandra Case,6.34,7
Curt Ruiz,4.72,4.9
Karen Ogburn,3.82,3.4
Barbara Torres,3.94,4.5
Denise Potts,3.58,4.4
Nicole Roberts,4.42,5.4
Alan Mccloud,3.88,4.3
Donald Upchurch,3.94,4.5
Martin Wilson,4.3,2.7
Belinda Tuholski,6.46,5.6
Luetta Caponigro,1.36,2.3
Alex Mcdowell,4.84,4.3
Cody Garcia,4.78,5.1
Nancy Ramos,4.24,6.2
Shirley Witt,4.54,4.6
Harry Murphy,4.06,3.4
Andrea Mcdavid,3.4,4.2
Howard Jimenez,5.32,5
Rosa Clagon,2.8,3.2
Clarice Machida,4.18,5.1
Robert Taylor,6.16,4.9
Linda Nevin,3.7,5.4
Rebecca Souliere,3.28,4.2
Ethel Kirby,3.94,5.3
Arturo Brown,4.78,3.6
Melanie Acevedo,5.74,6.3
Christopher Wall,4.72,4
Margaret Spannaus,3.82,4
Vickie Sellers,3.82,5.7
Kari Mitchell,4.18,6.2
Olivia Smith,5.41,6.88
Liam Johnson,6.33,5.8
Emma Brown,6.42,3.98
Noah Williams,4.96,6.76
Ava Jones,6.12,5.06
James Garcia,6.68,1.31
Sophia Miller,1.09,1.11
Lucas Davis,5.9,2.28
Isabella Wilson,5.73,6.47
Mason Anderson,6.22,5.28
Mia Thomas,1.02,3.07
Ethan Taylor,3.48,5.7
Charlotte Moore,6.59,4.08
Henry Jackson,2.58,5.65
Amelia Martin,6.39,2.11
Sebastian White,3.66,1.96
Evelyn Harris,6.85,4.56
Alexander Thompson,3.17,3.81
Harper Lewis,5.99,1.97
Benjamin Walker,3.99,5.58
Abigail Hall,2.88,4.59
Elijah Young,4.18,3.8
Emily Allen,6.33,4.14
Oliver King,3.94,2.8
Scarlett Wright,1.34,4.39
Jacob Scott,1.27,5.59
Madison Torres,2.84,5.04
Michael Hill,6.95,3.27
Avery Green,6.68,4.49
David Adams,1.66,1
Ella Baker,1.09,3.89
Matthew Nelson,6.8,5.6
Grace Carter,6.79,3.85
David Mitchell,6.44,5.48
Chloe Perez,3.89,6.71
Anthony Roberts,2.25,1.93
Lily Turner,1.48,1.39
Andrew Phillips,1.28,1.06
Zoey Campbell,4.05,1.72
Joshua Parker,2.87,5.95
Nora Evans,4.21,5.73
Samuel Edwards,3.95,6.33
Layla Collins,3.53,3.18
Christopher Stewart,2.97,2.07
Aria Sanchez,3.89,2.42
Joseph Morris,4.03,6.93
Riley Rogers,3,5.3
William Reed,1.1,1.74
Mila Cook,1,6.48
Jackson Morgan,4.66,2.6
Sofia Bell,1.7,2.67
Luke Murphy,6.64,5.68
Penelope Cooper,2.24,6.77
Logan Bailey,2.07,5.26
Luna Rivera,2.42,3.15
Jack Foster,1.22,4.94
Ellie Brooks,3.08,3.14
Aiden Hughes,5.63,5.06
Hazel Price,6.69,1.73
Caleb Myers,3.46,1.23
Paisley Fisher,3.21,4.7
Ryan Bryant,4.57,2.7
Hannah Kim,4.7,1.86
Isaac Simmons,6.75,3.79
Violet Reed,4.43,6.84
Gabriel Foster,1.04,4.98
Addison Long,6.38,6.53
Dylan Richardson,6.69,4.05
Aurora Hayes,2.15,3.67
Jonathan Hughes,5.16,5.89
Stella Flores,5.83,3.19
Levi Russell,4.2,5.6
Willow Peterson,6.79,1.72
Julian Sanders,5.39,5.64
Brooklyn Jenkins,3.29,3.27
Wyatt Ross,1.95,2.27
Savannah Scott,4.13,2.99
Owen Powell,2.99,2.71
Zoey Patterson,4.89,6.68
Nathan Barnes,6.41,1.95
Bella Jenkins,4.78,6.73
Hunter Perry,6.4,3.23
Camila Cook,1.38,2.81
Carter Roberts,2.99,5.83
Isla Gray,5.71,3.36
Asher Hughes,3.22,6.93
Riley Cooper,3.65,4.66
Lincoln Reed,5.12,2.06
Maya Peterson,4.01,6.63
Christopher Lee,3.04,1.03
Ellie Thompson,6.48,5.94
Josiah Scott,6.05,3.25
Scarlett Mitchell,2.56,2.68
Thomas Jenkins,4.56,3.77
Victoria Hill,4.13,3.62
Miles Davis,3.46,4.19
Natalie Barnes,4.54,6.36
Jason Edwards,2.63,3.5
Luna Parker,5.54,5.05
Ezra Thompson,1.6,2.25
Naomi Brooks,3.58,2.22
Charles Jenkins,5.55,3.71
Leah Torres,1.06,5.85
Adam Collins,5.32,2.57
Lydia Rivera,1.08,3.79
Eli Sanders,3.18,6.13
Zoey Long,1.75,3.5
Adrian Cooper,5.98,5.42
Alice Reed,1.54,4.45
Ian Roberts,3.14,6.44
Vivian Perry,1.56,4.02
Evan Gray,1.84,3.49
Maya Clark,3.92,2.82
Aaron Morgan,3.35,5.46
Hannah Murphy,5.16,4.44
Dominic Brooks,2.77,4.19
Lucy Rogers,5.85,1.44
Christian Butler,4.45,5.19
Claire James,2.78,4.14
Cameron Barnes,5.35,3.5
Eliana Clark,3.16,4.73
Robert Allen,6.58,6.65
Paisley Nelson,3.9,3.98
Nicholas Foster,2.26,3.83
Eleanor Ramirez,5.45,5.1
Mateo Butler,1.8,5.15
Lillian Walker,3.33,4.58
Austin Jenkins,5.75,3.57
Addison King,6.12,5.2
Kevin Morris,6.12,6.72
Stella Bell,3.66,2.45
Justin Hayes,5.72,3.39
Aubrey Carter,3.78,5.29
Brandon Hughes,6.27,5.74
Penelope King,6.06,3.39
Jaxon Lewis,5.05,6.91
Isla Baker,5.9,6.75
Landon Murphy,3.36,3.25
Violet Bailey,1.3,3.68
Adam Mitchell,4.32,6.24
Grace Ramirez,6.2,6.33
Connor Ward,4.14,1.29
Sadie Nelson,6.36,3.79
Colton Bryant,6.21,5.2
Willow Sanders,1.3,5.22
Carson Brooks,4.72,1.54
Ruby Reed,1.71,4.59
Zachary Torres,4.48,6.92
Eliana Gray,6.91,5.41
Gavin James,6.6,6.06
